Job title,Company name,Location,posted,Experience,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job link,Company Link
Quality Tester - Software,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt ",Posted 2 days ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Quality Control | Information Technology (IT) | Computer Science | QC | Security Testing | Test Cases | Automated Testing | QA | Quality Assurance | Software Development | Software Engineering | Quality | Software Testing | Testing | Computer Engineering,https://wuzzuf.net/jobs/p/aB2ibjFCoIm0-Quality-Tester---Software-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=1&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272
Senior Software Quality Engineer,Dafater,"Nasr City, Cairo, Egypt ",Posted 2 days ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Engineering | Computer Science | Information Technology (IT) | QA | quality | Quality Assurance | Software Development | Engineering | Software Engineering | Agile | Testing | Software,https://wuzzuf.net/jobs/p/ZudA12RydlY1-Senior-Software-Quality-Engineer-Dafater-Cairo-Egypt?o=2&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/BusinessClouds-Saudi-Arabia-27770
Software Manager,Caduceus Lane,"Alexandria, Egypt ",Posted 2 days ago,More than 16 years,Manager ,Bachelor's Degree,Confidential,IT/Software Development | Project/Program Management | Engineering - Telecom/Technology,Agile | Communication | Computer Science | Design | Development | Engineering | Information Technology (IT) | JIRA | Management | Project Management | Software | Software Development,https://wuzzuf.net/jobs/p/ZuWk488EOTgc-Software-Manager-Caduceus-Lane-Alexandria-Egypt?o=3&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Caduceus-Lane-Egypt-6198
Software Technical Lead,Centro CDX,"Maadi, Cairo, Egypt ",Posted 4 hours ago,4 to 6 years,Manager ,Bachelor's Degree,Confidential,IT/Software Development | Project/Program Management | Engineering - Telecom/Technology,Computer Engineering | Computer Science | Project Management | Information Technology (IT) | SQL Server | Microsoft SQL Server | JIRA | Microsoft TFS | .net core | n-tier architecture | C Sharp | ASP.Net | English | Angular | Software Development | OOP | Software Engineering | Front-End Development | Angular2 | React,https://wuzzuf.net/jobs/p/9AyFS6mmP68Y-Software-Technical-Lead-Centro-CDX-Cairo-Egypt?o=4&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Centro-Global-Solutions-Egypt-2799
Software Business Analyst,Rowaad,"Nasr City, Cairo, Egypt ",Posted 1 day ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Business Development | IT/Software Development | Analyst/Research,Business Analysis | Software Business | Software | Software Engineering | Business Administration | Information Technology (IT) | Agile | Software Development | Mobile Software | Computer Science | System Analysis | Communication skills | Administration,https://wuzzuf.net/jobs/p/WRpEWQA7UWPq-Software-Business-Analyst-Rowaad-Cairo-Egypt?o=5&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Rowaad-Egypt-34790
Senior Software Tester,Worex,"Maadi, Cairo, Egypt ",Posted 3 days ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,15000 to 25000 EGP Per Month,IT/Software Development | Quality | Engineering - Telecom/Technology,Software Development | Information Technology (IT) | Testing | Automation | Quality Assurance | Software Engineering | SQL,https://wuzzuf.net/jobs/p/qc5dMyupxWLU-Senior-Software-Tester-Worex-Cairo-Egypt?o=6&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Worex-Egypt-58786
Software Quality Control Engineer,Softxpert Incorporation ,"Alexandria, Egypt ",Posted 2 days ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Science | QC | QA | Quality Control | Quality Assurance | Software Development | ISTQB | Testing | Software Testing | Software Life Cycle | Computer Engineering | Information Technology (IT) | Engineering | Software | Quality | English | Computer | Analytical skills | Development,https://wuzzuf.net/jobs/p/w5yBkC0wwGX4-Software-Quality-Control-Engineer-Softxpert-Incorporation-Alexandria-Egypt?o=7&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Softxpert-Incorporation-Egypt-3527
Software Tester (Manual Testing),Atomica,"Cairo, Egypt ",Posted 3 days ago,1 to 7 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Communication skills | Information Technology (IT) | Performance | Project Management | Quality Control | QA | Software Testing | Software | Testing | Computer Science | Agile | English,https://wuzzuf.net/jobs/p/3V8k7hEUQwHI-Software-Tester-Manual-Testing-Atomica-Cairo-Egypt?o=8&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Atomica-Egypt-72754
Software Support Engineer,Trufla,"Heliopolis, Cairo, Egypt ",Posted 1 day ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology,Cloud | Computer Science | Github | IT | Linux | Management | MySQL | Software | Software Development | Software Engineering | Information Technology (IT),https://wuzzuf.net/jobs/p/Fu7wB5gpiChY-Software-Support-Engineer-Trufla-Cairo-Egypt?o=9&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Trufla-Egypt-17331
Software Quality Assurance Engineer,Target Recruitment  & HR Solutions ,"Cairo, Egypt ",Posted 3 days ago,5 to 8 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Communication skills | Computer Science | Information Technology (IT) | English | Management | quality | QA | Quality Assurance | Quality Control | Software | Software Development | Software Quality,https://wuzzuf.net/jobs/p/kM9nehWrKSY5-Software-Quality-Assurance-Engineer-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=10&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Target-Recruitment----HR-Solutions-Egypt-2029
Software Quality Control Section Head,Nahdet Misr Publishing Group,"Giza, Egypt ",Posted 1 day ago,8 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Agile | Quality Control | Computer Science | Software | Testing | Information Technology (IT) | Quality Assurance,https://wuzzuf.net/jobs/p/bBu68QQzq5nK-Software-Quality-Control-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=11&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272
Software Testing Engineer,DMS,"Heliopolis, Cairo, Egypt ",Posted 11 hours ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Social and Medical Insurance, Paid Vacation,   Felixible hours, Training and development courses,  Comfortable working environment.",IT/Software Development | Quality | Engineering - Telecom/Technology,Testing | QC | Quality Control | Quality Assurance | C# | C+ | Web Development | Software Development | Computer Science | Engineering | Information Technology (IT) | Software Engineering | Microsoft SQL Server | Agile | SQL | ISTQB | Programming | Development | Software | Automation | Java | .NET | Design | Software Testing | RESTful,https://wuzzuf.net/jobs/p/F4OUBTyLywH7-Software-Testing-Engineer-DMS-Cairo-Egypt?o=12&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/DMS-Egypt-6118
Senior Software Tester - Cairo,Etisalat Egypt,"Maadi, Cairo, Egypt ",Posted 18 hours ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Science | computer | Science | Software | Information Technology (IT) | test automation | Planning | Testing | Software Development | Design | Software Engineering | Automation,https://wuzzuf.net/jobs/p/1PNlMP9XVmH2-Senior-Software-Tester---Cairo-Etisalat-Egypt-Cairo-Egypt?o=13&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219
Software Developer,Rednet It Services,"Maadi, Cairo, Egypt ",Posted 51 minutes ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Software Development | C# | .NET | OOP | ADO.NET | SSRS | SSIS | Computer Engineering | Computer Science | Windows Forms | XML | javaScript | XSLT | Visual Studio .NET 2015 | AJAX | HTML | CSS | SQL | IIS | HTTP | Subversio | TFS | Git | Microsoft SQL Server | SSL | Web Development | Web Design | Agile | Scrum | ASP.NET | Web Forms | Information Technology (IT) | Software Engineering | Engineering | Software,https://wuzzuf.net/jobs/p/l67cAlVTrgyv-Software-Developer-Rednet-It-Services-Cairo-Egypt?o=14&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Rednet-It-Services-Egypt-5365
Vue Expert. Front End Software Developer.,Confidential Company,"Maadi, Cairo, Egypt ",Posted 8 hours ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Software Development | Front end | Vue | JavaScript | Information Technology (IT) | Computer Science | Developing,https://wuzzuf.net/jobs/p/5oq3lV4fAtLI-Vue-Expert-Front-End-Software-Developer-Cairo-Egypt?o=15&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Software QC Team Lead,Excel Systems  ,"Sheikh Zayed, Giza, Egypt ",Posted 1 day ago,More than 7 years,Manager ,Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Science | Information Technology (IT) | Agile | API | ISTQB | Software | Software Development | Software Engineering | Testing | Quality Control | Automation,https://wuzzuf.net/jobs/p/BcZJULWXEbuV-Software-QC-Team-Lead-Excel-Systems-Giza-Egypt?o=16&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Excel-Systems-LLC-Egypt-13729
Junior Software Quality Assurance,Refilex,"Dokki, Giza, Egypt ",Posted 2 days ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Agile | Computer Science | Information Technology (IT) | Quality Assurance | QA | Software | Testing | Quality Control | JIRA | English,https://wuzzuf.net/jobs/p/3PqMx4f2Qdtq-Junior-Software-Quality-Assurance-Refilex-Giza-Egypt?o=17&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Refilex-Egypt-66653
Account Manager - Software -Alexandria,Caduceus Lane,"San Stefano, Alexandria, Egypt ",Posted 3 days ago,4 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Marketing/PR/Advertising | Sales/Retail,Account Management | Communication skills | English | Marketing | Management | Customer Service | Sales Target | Software | Sales | Communication | Sales Field | Sales Skills,https://wuzzuf.net/jobs/p/cfbAMzOHvlWB-Account-Manager---Software--Alexandria-Caduceus-Lane-Alexandria-Egypt?o=18&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Caduceus-Lane-Egypt-6198
Software Business Analyst,Our Education,"Nasr City, Cairo, Egypt ",Posted 3 days ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Agile | business | Business Analysis | Communication | Communication skills | Development | Information Technology (IT) | Software Development | Software | SRS | Computer Science | IT,https://wuzzuf.net/jobs/p/jne9YgfwHhzW-Software-Business-Analyst-Our-Education-Cairo-Egypt?o=19&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Our-edu-Egypt-51211
Software Quality Control Engineer,52nd Solution ,"New Cairo, Cairo, Egypt ",Posted 1 day ago,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Software Development | XML | HTML5 | Software | Testing | Quality Control | Quality Assurance | Automation Testing | Test Cases | Mobile Testing | Software Testing | Unit Testing | Computer Science | Agile | APIs | Engineering,https://wuzzuf.net/jobs/p/O0gPdFFus6yZ-Software-Quality-Control-Engineer-52nd-Solution-Cairo-Egypt?o=20&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/ND-Solutions-Egypt-24982
Senior Software Developer (.NET Centric),TMentors,"Maadi, Cairo, Egypt ",Posted 5 days ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,14000 to 18000 EGP Per Month,IT/Software Development | Engineering - Telecom/Technology,developer | senior | Software Engineering | .net core | Node.js | Computer Science | .Net | Information Technology (IT) | JavaScript | HTML | Software Development | CSS,https://wuzzuf.net/jobs/p/KUmsoVKGZGEO-Senior-Software-Developer-NET-Centric-TMentors-Cairo-Egypt?o=21&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/TMentors-Egypt-9449
Junior Software Developer,Confidential Company,"Cairo, Egypt ",Posted 6 days ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Engineering | HTML5 | Information Technology (IT) | JavaScript | jQuery | .Net | Programming | Software | Software Development | Software Engineering | Troubleshooting,https://wuzzuf.net/jobs/p/aQNJDMixpztD-Junior-Software-Developer-Cairo-Egypt?o=22&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Software Sales Specialist.,Callvita,"Maadi, Cairo, Egypt ",Posted 5 days ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Bonus & Commission",IT/Software Development | Sales/Retail,Sales Skills | Sales Target | Software | Software Sales | Communication Skills | Presentation | Medical | Sales | Communication | Skills | Business Development,https://wuzzuf.net/jobs/p/HWLfm10Qv2C6-Software-Sales-Specialist-Callvita-Cairo-Egypt?o=23&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Callvita-United-States-40801
Software Quality Control Engineer,GET Group- Egypt,"Sheraton, Cairo, Egypt ",Posted 7 days ago,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,ISTQB | Computer Science | Quality Control | Software Quality | Automation Testing | Testing | Software Testing | Test Cases | technical testing | Software | Software Development | QC | Engineering | Automation | Science | Quality Assurance,https://wuzzuf.net/jobs/p/xtwG6t5vbtYH-Software-Quality-Control-Engineer-GET-Group--Egypt-Cairo-Egypt?o=24&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/GET-Group--Egypt-Egypt-3132
Software Quality Control Engineer,Trufla,"Heliopolis, Cairo, Egypt ",Posted 6 days ago,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Quality Assurance | Quality Control | Scrum | Software | JavaScript | Engineering | Agile | Testing | SQL | Java | Information Technology (IT) | Computer Science | Software Testing,https://wuzzuf.net/jobs/p/VBu1enz528Pz-Software-Quality-Control-Engineer-Trufla-Cairo-Egypt?o=25&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Trufla-Egypt-17331
Software Testing Engineer,realme,"New Cairo, Cairo, Egypt ",Posted 6 days ago,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,6000 to 7000 EGP Per Month,IT/Software Development | Quality | Engineering - Telecom/Technology,Communication | Information Technology (IT) | Software Development | Software | Engineering | Testing | Electronics | Software Engineering | English | Computer Science | Communication Engineering | Software Testing,https://wuzzuf.net/jobs/p/1teIDiqFVjpM-Software-Testing-Engineer-realme-Cairo-Egypt?o=26&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/realme-Egypt-38950
Senior Embedded Software Instructor,Confidential Company,"Cairo, Egypt ",Posted 7 days ago,6 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology | Training/Instructor,Embedded System | Embedded Software | Embedded C | RTOS | Software | AUTOSAR | ISTQB | Data Structure | Hardware | computer architecture | Information Technology (IT) | Software Development | embedded | Computer Science | Software Engineering,https://wuzzuf.net/jobs/p/vuwDjfZ6U0QO-Senior-Embedded-Software-Instructor-Cairo-Egypt?o=27&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Software Engineer (Flutter Developer),Confidential Company,"Cairo, Egypt ",Posted 6 days ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Android | Computer Science | Software Engineering | Information Technology (IT) | Software | Software Development | Web Development | OOP | MVC | Git | Design,https://wuzzuf.net/jobs/p/wAK4JKcVKWcq-Software-Engineer-Flutter-Developer-Cairo-Egypt?o=28&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Software Tester,waffarha.com,"Abbassia, Cairo, Egypt ",Posted 7 days ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Science | ISTQB | Quality Control | Software Testing | Agile | Testing | Software | Information Technology (IT) | Selenium | SQL | Kanban | Automation,https://wuzzuf.net/jobs/p/xVGu2TVpnTZf-Software-Tester-waffarha-com-Cairo-Egypt?o=29&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/waffarha-com-Egypt-3723
Senior Software QC Engineer,Confidential Company,"Sheraton, Cairo, Egypt ",Posted 8 days ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Science | Information Technology (IT) | Software | Testing | Software Development | QA | ISTQB | API | Software Engineering | UX,https://wuzzuf.net/jobs/p/0d3bMovGiyfv-Senior-Software-QC-Engineer-Cairo-Egypt?o=30&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Senior Software Business Analyst,Omnix International,"Maadi, Cairo, Egypt ",Posted 7 days ago,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Business Analysis | System Analysis | System Requirements Specifications (SRS) | Agile Software Development | Computer Science | Information Technology (IT) | UML | Business Analyst | Project Management | Software Development | Software | Analyst,https://wuzzuf.net/jobs/p/40VdV5DZOm73-Senior-Software-Business-Analyst-Omnix-International-Cairo-Egypt?o=31&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Omnix-International-Egypt-79715
Commercial Manager - Software Background,Excel Systems  ,"Sheikh Zayed, Giza, Egypt ",Posted 8 days ago,8 to 12 years,Manager ,Bachelor's Degree,Confidential,IT/Software Development | Marketing/PR/Advertising | Sales/Retail,Software Solutions | Sales | IT | Software Sales | Business Development | Commercial Sales | Commercial | Management | sales skills | Administration | Business Administration | Communication | English | Marketing,https://wuzzuf.net/jobs/p/4QIPm9fhsj1w-Commercial-Manager---Software-Background-Excel-Systems-Giza-Egypt?o=32&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Excel-Systems-LLC-Egypt-13729
Software Engineer,Chubb life Insurance,"New Cairo, Cairo, Egypt ",Posted 8 days ago,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Annual Bonus, Life Insurance & Medical Insurance",IT/Software Development | Engineering - Telecom/Technology,Information Technology (IT) | Software Development | Software Engineering | javaScript | Computer Science | Web Development | Software | HTML | HTML5 | Design | C# | PHP,https://wuzzuf.net/jobs/p/INBZBxshKu8B-Software-Engineer-Chubb-life-Insurance-Cairo-Egypt?o=33&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/---17903
Software Quality Assurance Specialist,Wakeb Data,"Mohandessin, Giza, Egypt ",Posted 8 days ago,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Quality Control | Quality Assurance | Computer Science | quality | Testing | Design | Software,https://wuzzuf.net/jobs/p/NZm54Hu95wpG-Software-Quality-Assurance-Specialist-Wakeb-Data-Giza-Egypt?o=34&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Wakeb-Data-Egypt-44210
Software Tester,Confidential Company,"Heliopolis, Cairo, Egypt ",Posted 1 day ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Agile | Computer Science | SQL | Testing | Software Testing | Mobile Testing | Selenium | ISTQB | SDLC | Information Technology (IT) | Engineering | POM | API | Communication | Quality,https://wuzzuf.net/jobs/p/y0dyyQeHEbrz-Software-Tester-Cairo-Egypt?o=35&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Senior Software Developer,EGID company,"New Cairo, Cairo, Egypt ",Posted 2 days ago,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,ASP.NET Core | Angular4 | EF Core | Software Development | Database SQL Server | SQL | C# | Computer Science | Engineering | Angular | JavaScript | Communication skills,https://wuzzuf.net/jobs/p/0HS5KtSewV1A-Senior-Software-Developer-EGID-company-Cairo-Egypt?o=36&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/AGTI-company-Egypt-45817
Senior Software Engineer -- Multinational Growing Co,Confidential Company,"Suez, Egypt ",Posted 2 days ago,5 to 10 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, attractive package",Engineering - Construction/Civil/Architecture | IT/Software Development | Engineering - Telecom/Technology,Computer Science | Computer Engineering | Software Engineering | Software Development,https://wuzzuf.net/jobs/p/qRg8tovdFcOn-Senior-Software-Engineer----Multinational-Growing-Co-Suez-Egypt?o=37&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Senior Full Stack Software Developer,El-Sewedy Electrometer,"6th of October, Giza, Egypt ",Posted 2 days ago,4 to 8 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Software Development | Software Engineering | Computer Science | Information Technology (IT) | Computer Engineering | HTML | JavaScript | CSS | .Net | SQL | jQuery | MVC | Angular4 | Angular | ASP.Net,https://wuzzuf.net/jobs/p/B7eG2d9662NU-Senior-Full-Stack-Software-Developer-El-Sewedy-Electrometer-Giza-Egypt?o=38&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/El-Sewedy-Electrometer-Egypt-23922
Software Engineer- Backend,WUZZUF,"Cairo, Egypt ",Posted 1 day ago,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development | Engineering - Telecom/Technology,Software Development | Software Engineering | PHP | Laravel | Symfony | Backend,https://wuzzuf.net/jobs/p/afbOBj262nxZ-Software-Engineer--Backend-WUZZUF-Cairo-Egypt?o=39&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061
Software Tester- Automation Knowledge,Aman,"Giza, Egypt ",Posted 2 days ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Science | Software Testing | Information Technology (IT) | Testing | SQL | Quality | Quality Control | Database | Automation | Computer Engineering,https://wuzzuf.net/jobs/p/JvTwjCLS4mN0-Software-Tester--Automation-Knowledge-Aman-Giza-Egypt?o=40&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Aman-Egypt-18390
Software Developer - Linux - Mongo DB,Confidential Company,"Cairo, Egypt ",Posted 3 days ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Linux | Mongo | Computer Science | Information Technology (IT) | Software Development | Software Engineering,https://wuzzuf.net/jobs/p/LjPfdDYQYFHY-Software-Developer---Linux---Mongo-DB-Cairo-Egypt?o=41&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
Software Implementation Specialist,Confidential Company,"Cairo, Egypt ",Posted 3 days ago,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Bonus  -  Family Medical Insurance  - Social Insurance - Mobile Allowance",IT/Software Development | Engineering - Telecom/Technology,Implementation | Information Technology (IT) | SQL | Software | Computer Science | EMR | Nursing | LIS | RIS | RCM | pharmacy information system | patient portal | crystal reports | Microsoft SQL Server | SQL Server | MS SQL Server | Microsoft SQL | Software Implementation | ERP Implementation | Linux | Unix | Software Engineering | Programming,https://wuzzuf.net/jobs/p/zwV1ltxWzfko-Software-Implementation-Specialist-Cairo-Egypt?o=42&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
IT Software Tech Lead Fin-tech,Dafa,"Cairo, Egypt ",Posted 9 days ago,8 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology,AWS | Banking | Communication skills | Computer Science | Engineering | Software Development | Information Technology (IT) | Design | Java | PHP | Python | Software | Development | Programming | IT,https://wuzzuf.net/jobs/p/ejeg9bOEiNeZ-IT-Software-Tech-Lead-Fin-tech-Dafa-Cairo-Egypt?o=43&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Tarseya-Egypt-76749
C++ Software Engineer,360Imaging,"Dokki, Giza, Egypt ",Posted 3 days ago,More than 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Medical Insurance",IT/Software Development | Engineering - Telecom/Technology,C++ | C++11 | R&D | Linear Algebra | Computer Vision | Image Processing | GPU Programming | Computational Geometry | CUDA | 3D Graphics | DirectX11 | Algorithms | AI | Open GL | IT | Software Engineering | Information Technology (IT) | Computer Science | Software Development | Programming | APIs | Git | Source Control Tools | Windows API | GPU | OpenCL | Shader Programming | GLSL | HLSL | 3D Graphics API | OpenGL,https://wuzzuf.net/jobs/p/esD1Ob7gVDj8-C-Software-Engineer-360Imaging-Giza-Egypt?o=44&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/360Imaging-Egypt-6022
Junior Software Quality Engineer (Testing),Cashcall,"Maadi, Cairo, Egypt ",Posted 11 hours ago,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Startup | Information Technology (IT) | Telecommunication | Computer Science | Software Testing | Trello | TFS | Jira | Testing | Software Development | Engineering | English | Computer | Quality Control,https://wuzzuf.net/jobs/p/KIOtimPRo1RP-Junior-Software-Quality-Engineer-Testing-Cashcall-Cairo-Egypt?o=45&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Cash-Call-Egypt-39990
Senior Software Tester,Our Education,"Nasr City, Cairo, Egypt ",Posted 3 days ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Quality | Engineering - Telecom/Technology,Computer Science | Test Automation | Engineering | Information Technology (IT) | Software Testing | Quality Control | Selenium | Quality | Automation | Appium | Agile | QA | API | Computer Engineering | Testing | Software Development | Software Engineering,https://wuzzuf.net/jobs/p/yzOQeGTZySwu-Senior-Software-Tester-Our-Education-Cairo-Egypt?o=46&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Our-edu-Egypt-51211
